Subscriber connected to tcp://0.0.0.0:5555...
Received Packet 1: Latency = 16.76 ms, length = 4056309 bytes
Received Packet 2: Latency = 15.79 ms, length = 4056310 bytes
Received Packet 3: Latency = 11.95 ms, length = 4056309 bytes
Received Packet 4: Latency = 7.24 ms, length = 4056310 bytes
Received Packet 5: Latency = 6.82 ms, length = 4056310 bytes
Received Packet 6: Latency = 8.42 ms, length = 4056310 bytes
Received Packet 7: Latency = 8.32 ms, length = 4056309 bytes
Received Packet 8: Latency = 6.75 ms, length = 4056309 bytes
Received Packet 9: Latency = 4.43 ms, length = 4056310 bytes
Received Packet 10: Latency = 5.60 ms, length = 4056309 bytes
Received Packet 11: Latency = 4.53 ms, length = 4056309 bytes
Received Packet 12: Latency = 6.21 ms, length = 4056309 bytes
Received Packet 13: Latency = 3.40 ms, length = 4056310 bytes
Received Packet 14: Latency = 5.08 ms, length = 4056310 bytes
Received Packet 15: Latency = 2.61 ms, length = 4056310 bytes
Received Packet 16: Latency = 3.48 ms, length = 4056310 bytes
Received Packet 17: Latency = 6.30 ms, length = 4056309 bytes
Received Packet 18: Latency = 3.49 ms, length = 4056310 bytes
Received Packet 19: Latency = 6.20 ms, length = 4056309 bytes
Received Packet 20: Latency = 6.46 ms, length = 4056310 bytes
Received Packet 21: Latency = 5.65 ms, length = 4056310 bytes
Received Packet 22: Latency = 3.45 ms, length = 4056310 bytes
Received Packet 23: Latency = 5.21 ms, length = 4056310 bytes
Received Packet 24: Latency = 4.06 ms, length = 4056310 bytes
Received Packet 25: Latency = 4.62 ms, length = 4056310 bytes
Received Packet 26: Latency = 5.88 ms, length = 4056310 bytes
Received Packet 27: Latency = 6.31 ms, length = 4056310 bytes
Received Packet 28: Latency = 5.56 ms, length = 4056310 bytes
Received Packet 29: Latency = 5.70 ms, length = 4056310 bytes
Received Packet 30: Latency = 5.75 ms, length = 4056310 bytes
Received Packet 31: Latency = 5.57 ms, length = 4056310 bytes
Received Packet 32: Latency = 5.33 ms, length = 4056310 bytes
Received Packet 33: Latency = 5.70 ms, length = 4056310 bytes
Received Packet 34: Latency = 11.05 ms, length = 4056310 bytes
Received Packet 35: Latency = 6.56 ms, length = 4056310 bytes
Received Packet 36: Latency = 9.18 ms, length = 4056310 bytes
Received Packet 37: Latency = 6.50 ms, length = 4056310 bytes
Received Packet 38: Latency = 8.29 ms, length = 4056310 bytes
Received Packet 39: Latency = 5.06 ms, length = 4056307 bytes
